State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
AP,Vizianagaram,799,850,98,Rural,56.4,23.7,1066,864,88,98.1,89.5,31.9,48.1,69.1,79.9,1
HP,Kangra,782,850,164,Rural,83.4,23.8,1107,781,97.1,100,97.8,67.1,34.9,99.9,25.6,1
JH,Godda,877,850,100,Rural,51.6,36.6,1031,933,60.9,78.3,83.8,17.1,6,97.2,6.3,1
UT,Chamoli,870,849,85,Rural,74.3,29.8,1150,950,89.7,95.5,93.2,62.4,34.8,85.6,18.8,1
DL,North East,730,847,92,Urban,79.3,27,891,778,86.5,100,96.6,75.5,98.8,98.8,13,1
AR,East Siang,860,843,114,Rural,72.5,25.8,954,942,72.6,96.8,98.3,72.8,44.9,99.5,84.4,1
AN,North  & Middle Andaman,796,842,128,Rural,83.8,22.6,951,975,99.6,92.5,90.3,49.8,35.5,99.4,3.2,1
MH,Gadchiroli,792,840,138,Rural,65.5,22,968,1162,99.2,93.5,86.1,32.6,22.4,98.2,19.6,1
GJ,Kachchh,776,837,212,Both,61,32.5,944,1029,96.7,95.4,81.5,61.5,38.5,96.2,20.5,1
MH,Buldana,779,837,131,Rural,75.2,26.9,953,907,96.9,96,86.8,45.7,33.1,99.6,18.8,1
AP,Krishna,798,836,112,Both,71.3,22.1,1037,900,83.6,99,70,63.2,73.3,90.5,71.5,1
TN,Kanniyakumari,813,836,135,Urban,92.2,24.2,1110,1129,100,99.3,91.9,85.6,59.7,88.9,54.9,1
HP,Bilaspur,783,835,137,Rural,78.6,25.8,1086,915,95.5,99.9,82.8,70.3,19.1,99.6,18.4,1
MN,Ukhrul,890,833,120,Rural,83.3,34.1,984,1041,51,79.2,44.1,59.8,10.8,98,1.1,1
GJ,Bharuch,785,832,226,Both,73.7,25.1,973,1037,96.5,96.1,85.9,67.2,49.2,98.3,25.7,1
HP,Hamirpur,789,830,132,Rural,84.8,24.6,1225,954,99.6,99.5,96.8,81,24.3,98.8,12.8,1
TG,Hyderabad,766,830,109,Urban,79.8,26.7,934,827,92.9,100,90.5,73.2,91.6,98.9,49.8,1
GJ,Gandhinagar,752,828,241,Both,69.4,25.1,931,1019,96,94.8,96.5,62.3,52.2,96.8,28.4,1
MH,Kolhapur,771,827,132,Both,77.3,22,978,660,96.3,96.1,95.4,67,64,94.9,10.1,1
KL,Kasaragod,799,823,134,Both,88.8,22.5,1041,981,98.4,98.5,92.7,97.7,52.9,94.2,37.5,1
MH,Bhandara,801,823,132,Rural,81.1,23.6,1020,1204,99.6,96.3,85.9,67.3,47.7,99,16.1,1
MH,Beed,779,823,127,Rural,62.6,27.7,933,1046,90.1,90.6,86.1,39.7,28,95.4,13.1,1
MH,Gondiya,783,822,127,Rural,77.3,23.3,1037,1009,99.4,96.2,78.8,55.4,23.8,98.8,16,1
KA,Hassan,817,821,115,Rural,69.4,21.8,1077,1149,96.9,96.3,91.1,64.3,51.1,94.2,39.8,1
KA,Chikkaballapura,784,819,100,Rural,63,23.4,1023,788,95.1,97.5,76.9,49.7,47.3,66.4,16.1,1
MH,Chandrapur,803,819,126,Both,72.9,23.3,961,996,98.6,91.6,84,53.9,47.2,99.2,11.3,1
KL,Palakkad,828,816,191,Rural,92.2,20.1,972,1075,100,99,93.4,96.7,50.7,97.2,48,1
AP,Srikakulam,784,815,104,Rural,58.4,22.2,1028,933,89.3,97.3,75.7,33.2,38,80,82.2,1
NL,Zunheboto,848,815,124,Rural,86.5,29.4,936,747,58.9,99.4,88.7,81.1,12.8,99.6,18.9,1
GJ,Vadodara,789,812,219,Both,72.6,24.8,944,1159,95.9,97,95.5,60.8,52.1,96.6,25.7,1
KA,Tumkur,815,810,116,Rural,69.3,20.8,1003,926,98,98.1,80.8,52.3,39.4,85.5,36.5,1
NL,Peren,876,809,119,Rural,78.9,38.3,992,916,69.3,97.3,61,74.2,16.9,99.8,6.3,1
JK,Leh_Ladakh_,793,807,152,Both,60.4,23.3,1035,829,81.7,99.5,70.9,16.7,87.7,99.2,2.6,1
DD,Diu,738,806,153,Both,74.6,26.7,1188,825,99.7,99.8,98.1,71.4,69.7,90.2,36.6,1
GA,South  Goa,790,806,370,Both,82.8,24.4,1000,970,98.4,100,96.1,76.1,86.4,97.4,7.6,1
NL,Kiphire,823,806,132,Rural,78.3,37.5,964,1037,69.8,98.2,87.2,80.5,11.1,99.3,7.9,1
TN,Ariyalur,814,806,133,Rural,69.1,24,1048,847,97.5,98.3,96.6,28.1,44.7,62.8,63.3,1
KA,Kodagu,796,804,116,Rural,78.3,24.8,1114,1226,97.9,95.8,81.6,82,47.9,90.1,33.7,1
WB,Kolkata,749,803,95,Urban,82.5,20.2,921,1020,95.7,99.8,96.2,50.2,69.6,98.5,26.1,1
AP,East Godavari,803,802,125,Rural,69,21.8,927,1008,84.3,99.1,82.1,56.8,50.3,82.3,70.9,1
MH,Jalgaon,771,799,110,Both,75.4,25.1,914,922,92.1,90.2,96,42.1,52.9,98.6,11.5,1
KA,Bangalore,775,798,114,Urban,84.4,22.1,898,727,93.6,99.4,92,86.2,93.9,95.9,15.4,1
KA,Mandya,785,798,97,Rural,65.2,21.1,1048,915,95.3,98.9,95.5,56.8,53.7,93.6,30.6,1
MH,Ahmadnagar,749,798,110,Rural,75.4,25.8,905,843,93.4,92.2,86.1,50.8,57.8,94.9,10,1
TN,Madurai,786,796,131,Both,80.9,23.8,1007,726,98.1,98.8,78.6,54.4,75.8,81.8,50.5,1
AP,Anantapur,784,795,100,Rural,56.9,24,1000,1196,89.4,99.1,61.3,46.5,65.9,77.8,76.5,1
